Depth (%),01_ACC VPA1,02_ACC VPA2,03_ACC VPA3,04_ACC VPA4,05_ACC WT1,06_ACC WT2,07_ACC WT3,08_ACC WT4,09_ACC VPA6,10_ACC VPA7,11_ACC VPA8,12_ACC VPA9,13_ACC WT2,14_ACC WT4,15_ACC VPA1,16_ACC VPA2,17_ACC VPA3,18_ACC WT1,19_ACC WT2,20_ACC WT3,21_ACC WT4,22_ACC WT5,WT_Mean,WT_SD,WT_N,VPA_Mean,VPA_SD,VPA_N,P_value
0,1.048541667,1.113802083,1.174166667,1.19796875,1.098611111,1.085416667,1.1,1.148125,1.20425,1.148072917,1.164947917,1.15546875,1.125625,1.0903125,1.226822917,1.243541667,1.240729167,1.179895833,1.171484375,1.1753125,1.147760417,1.228125,1.140969855,0.045474931,11,1.174392045,0.058333635,11,0.150496878
10,1.139270833,1.141875,1.214340278,1.232604167,1.121354167,1.112986111,1.110572917,1.147708333,1.201875,1.165520833,1.180364583,1.195833333,1.192760417,1.165520833,1.254895833,1.257465278,1.256145833,1.215347222,1.197005208,1.1978125,1.194947917,1.249479167,1.173226799,0.0453515,11,1.203653725,0.043876851,11,0.125468427
20,1.15,1.1471875,1.194826389,1.21140625,1.106388889,1.097951389,1.106875,1.118541667,1.188625,1.150833333,1.168177083,1.171901042,1.171354167,1.1003125,1.250104167,1.228194444,1.242673611,1.190694444,1.185078125,1.174635417,1.17125,1.2178125,1.149172191,0.04349851,11,1.191266256,0.037526471,11,0.02485071
30,1.143229167,1.11296875,1.168888889,1.177083333,1.094166667,1.090868056,1.089583333,1.109895833,1.1779375,1.14546875,1.163333333,1.165234375,1.16453125,1.1221875,1.22359375,1.2303125,1.224166667,1.186145833,1.165286458,1.169739583,1.153645833,1.206458333,1.141137153,0.041380903,11,1.175656092,0.037208334,11,0.053087234
40,1.134791667,1.1221875,1.171493056,1.183020833,1.099409722,1.076527778,1.083333333,1.113125,1.172208333,1.134635417,1.153125,1.14734375,1.1521875,1.112395833,1.213802083,1.231770833,1.228472222,1.186284722,1.168020833,1.174322917,1.15609375,1.212916667,1.139510732,0.044943205,11,1.172077336,0.038544553,11,0.083437607
50,1.12,1.12578125,1.151527778,1.166875,1.094861111,1.071666667,1.064479167,1.103020833,1.154270833,1.117291667,1.166302083,1.135208333,1.1434375,1.111875,1.2084375,1.220277778,1.223854167,1.168993056,1.163541667,1.160677083,1.143072917,1.192395833,1.128910985,0.042196134,11,1.16271149,0.039213796,11,0.065906622
60,1.117291667,1.117604167,1.134965278,1.142239583,1.090902778,1.063854167,1.06921875,1.096875,1.148708333,1.111614583,1.154791667,1.117942708,1.14484375,1.099583333,1.1896875,1.224375,1.2134375,1.178055556,1.159296875,1.174166667,1.124322917,1.205520833,1.12787642,0.047587139,11,1.152059817,0.040019638,11,0.212207619
70,1.10875,1.099010417,1.1275,1.121041667,1.086875,1.0515625,1.07390625,1.085,1.132104167,1.0934375,1.125104167,1.103645833,1.13734375,1.096770833,1.177864583,1.225659722,1.216458333,1.174479167,1.158489583,1.1590625,1.14109375,1.199479167,1.124005682,0.047467548,11,1.139143308,0.046427812,11,0.458387977
80,1.107083333,1.085677083,1.118194444,1.105625,1.067465278,1.039583333,1.060052083,1.071041667,1.128208333,1.090572917,1.116302083,1.087916667,1.12890625,1.106979167,1.168697917,1.194270833,1.214652778,1.174861111,1.159479167,1.154375,1.1421875,1.202291667,1.118838384,0.053353181,11,1.12883649,0.044180337,11,0.637523094
90,1.1,1.0609375,1.095833333,1.093020833,1.051805556,1.028715278,1.052708333,1.092291667,1.119520833,1.0815625,1.10359375,1.0709375,1.12859375,1.082604167,1.175208333,1.183541667,1.193055556,1.175486111,1.147786458,1.143489583,1.142604167,1.181145833,1.111566446,0.052556206,11,1.116110164,0.046487015,11,0.832149601
