Depth (%),01_ACC VPA1,02_ACC VPA2,03_ACC VPA3,04_ACC VPA4,05_ACC WT1,06_ACC WT2,07_ACC WT3,08_ACC WT4,09_ACC VPA6,10_ACC VPA7,11_ACC VPA8,12_ACC VPA9,13_ACC WT2,14_ACC WT4,15_ACC VPA1,16_ACC VPA2,17_ACC VPA3,18_ACC WT1,19_ACC WT2,20_ACC WT3,21_ACC WT4,22_ACC WT5,WT_Mean,WT_SD,WT_N,VPA_Mean,VPA_SD,VPA_N,P_value
0,0.618036533,0.40873726,0.589439607,0.718670563,0.406406027,0.495203177,0.40014962,0.627581352,0.597217082,0.619209511,0.617922562,0.506070103,0.342168731,0.368736363,0.563879658,0.494465949,0.554747348,0.434730581,0.405701198,0.448299503,0.44019975,0.480995491,0.440924708,0.076514408,11,0.57167238,0.081415412,11,0.000934009
10,0.733082102,0.747118304,0.817480128,0.843516791,0.547121859,0.555351911,0.589888235,0.576559637,0.6548588,0.808563185,0.725268817,0.703525346,0.452971058,0.560821281,0.654057746,0.556512243,0.697939708,0.556143646,0.470526855,0.525852152,0.594172783,0.522469305,0.541079884,0.045426746,11,0.721993015,0.08340917,11,1.20E-05
20,0.793093713,0.79562207,0.842451171,0.850442288,0.559832107,0.556814254,0.599747248,0.626096117,0.665809653,0.802646027,0.744672344,0.710639886,0.494263222,0.494857102,0.672446874,0.63710746,0.722647951,0.567626077,0.519784751,0.511179893,0.568926691,0.57080067,0.551811648,0.04247501,11,0.748870858,0.073147015,11,8.49E-07
30,0.814419535,0.806560347,0.868874019,0.906642908,0.567549382,0.574660865,0.606128797,0.649164592,0.626207707,0.821110653,0.777943346,0.725035348,0.519568012,0.514615268,0.70099268,0.639764251,0.683788041,0.543000609,0.499408656,0.514137571,0.594908744,0.596900836,0.561822121,0.047594188,11,0.761030803,0.092412932,11,1.31E-05
40,0.764699928,0.791263334,0.85474981,0.900174147,0.546224292,0.522081487,0.580680701,0.705033813,0.626010337,0.801279956,0.732793993,0.71997567,0.480000546,0.529869566,0.709624663,0.668813833,0.714801438,0.518857883,0.495378026,0.485728379,0.585139841,0.611704317,0.550972623,0.066476841,11,0.753107919,0.079998859,11,3.23E-06
50,0.757599242,0.775159468,0.844639233,0.904843318,0.536402022,0.528324616,0.59409042,0.666214949,0.60680773,0.750967925,0.712878895,0.769170247,0.452946866,0.491312899,0.713822249,0.687721769,0.703832649,0.516767049,0.485388002,0.483538632,0.583600787,0.538975244,0.534323771,0.061001409,11,0.747949339,0.079464959,11,1.07E-06
60,0.806016911,0.736837495,0.828706728,0.795040221,0.524041685,0.542269852,0.585938128,0.581576403,0.580962037,0.767660279,0.686879282,0.714740356,0.448174163,0.486248525,0.648004191,0.70603383,0.685061752,0.507606926,0.485089599,0.51076953,0.576165528,0.542649881,0.526411838,0.044297591,11,0.723267553,0.073715661,11,9.33E-07
70,0.712730558,0.727546264,0.790005162,0.802652965,0.54395245,0.52609407,0.536924522,0.625049879,0.570492432,0.683887088,0.659537179,0.683275093,0.443138904,0.480032314,0.663231699,0.636769579,0.655526486,0.513290091,0.477637135,0.494656588,0.568510772,0.53376205,0.522095343,0.049410663,11,0.689604955,0.066818773,11,2.54E-06
80,0.722080787,0.727688394,0.774965783,0.800498834,0.507871136,0.5256902,0.540678031,0.564253271,0.558620943,0.655568562,0.661708306,0.683247739,0.436619186,0.473614439,0.643947579,0.658756987,0.674384887,0.510655784,0.505082804,0.477220643,0.554563901,0.480669223,0.506992602,0.038327234,11,0.687406255,0.06666149,11,8.06E-07
90,0.709263329,0.630685048,0.794666064,0.760666608,0.469549533,0.473391496,0.546875393,0.520796593,0.545840282,0.634787606,0.626993912,0.639583729,0.429737111,0.443932241,0.623298389,0.688141223,0.653339841,0.498703986,0.471349452,0.461527236,0.512168336,0.562902078,0.490084859,0.042037517,11,0.664296912,0.069792181,11,2.21E-06
