ID,region,X,Y,XM,YM,BX,BY,Width,Height
12,dorsal,77,12,77,12,77,12,1,1
12,ventral,281,857,281,857,281,857,1,1
11,dorsal,89,65,89,65,89,65,1,1
11,ventral,253,843,253,843,253,843,1,1
10,dorsal,101,50,101,50,101,50,1,1
10,ventral,246,846,246,846,246,846,1,1
9,dorsal,54,41,54,41,54,41,1,1
9,ventral,213,828,213,828,213,828,1,1
8,dorsal,61,46,61,46,61,46,1,1
8,ventral,262,860,262,860,262,860,1,1
7,dorsal,71,18,71,18,71,18,1,1
7,ventral,183,888,183,888,183,888,1,1
6,dorsal,59,14,59,14,59,14,1,1
6,ventral,156,866,156,866,156,866,1,1
5,dorsal,79,45,79,45,79,45,1,1
5,ventral,336,847,336,847,336,847,1,1
4,dorsal,72,30,72,30,72,30,1,1
4,ventral,215,877,215,877,215,877,1,1
3,dorsal,65,29,65,29,65,29,1,1
3,ventral,264,861,264,861,264,861,1,1
2,dorsal,45,32,45,32,45,32,1,1
2,ventral,226,845,226,845,226,845,1,1
1,dorsal,71,68,71,68,71,68,1,1
1,ventral,333,847,333,847,333,847,1,1
