Trial,Line,Slope,Intercept,Interval
1,Line 1,0.159253942,13.02704767,
1,Line 2,-0.039392908,178.1554255,165.1283779
1,Line 3,-0.269083497,348.4099476,170.2545221
1,Line 4,-0.473551827,519.3926765,170.9827289
1,Line 5,-0.719035666,689.6793558,170.2866793
2,Line 1,-0.162017172,7.286571767,
2,Line 2,-0.332550208,156.0176206,148.7310489
2,Line 3,-0.549243726,315.8876389,159.8700182
2,Line 4,-0.744598752,483.2483502,167.3607114
2,Line 5,-1.002626327,657.9468899,174.6985397
3,Line 1,-0.105644032,9.043724344,
3,Line 2,-0.284985796,167.7088731,158.6651487
3,Line 3,-0.504563591,335.2057119,167.4968389
3,Line 4,-0.699499392,506.9981008,171.7923889
3,Line 5,-0.947137271,682.1971801,175.1990793
4,Line 1,-0.035838961,17.07650989,
4,Line 2,-0.200835802,167.6785158,150.6020059
4,Line 3,-0.404051166,328.1210922,160.4425764
4,Line 4,-0.588318725,494.7775477,166.6564555
4,Line 5,-0.823956597,667.1408493,172.3633016
5,Line 1,-0.119770523,19.07155044,
5,Line 2,-0.306464576,189.1294047,170.0578543
5,Line 3,-0.529434927,364.5681189,175.4387142
5,Line 4,-0.721272916,539.9900575,175.4219387
5,Line 5,-0.961901026,715.0255184,175.0354609
6,Line 1,-0.381594657,30.62694954,
6,Line 2,-0.536804389,184.139605,153.5126554
6,Line 3,-0.740851891,348.3873169,164.247712
6,Line 4,-0.917462887,518.9219248,170.5346078
6,Line 5,-1.161373871,696.1978623,177.2759375
7,Line 1,-0.241683789,23.2844937,
7,Line 2,-0.415849677,188.265548,164.9810543
7,Line 3,-0.632347158,359.8413911,171.5758431
7,Line 4,-0.816300481,532.4605063,172.6191152
7,Line 5,-1.05745464,705.958382,173.4978757
8,Line 1,-0.469236334,37.08863732,
8,Line 2,-0.633294393,194.2184771,157.1298398
8,Line 3,-0.848639487,361.2942014,167.0757243
8,Line 4,-1.032399823,533.5579312,172.2637297
8,Line 5,-1.28702595,711.584815,178.0268839
9,Line 1,-0.301182623,31.30449689,
9,Line 2,-0.477598342,193.1254814,161.8209845
9,Line 3,-0.699228925,363.3167567,170.1912753
9,Line 4,-0.890072199,536.8469708,173.5302141
9,Line 5,-1.142419291,713.9022483,177.0552775
10,Line 1,-0.444745253,13.65134673,
10,Line 2,-0.619274004,174.633424,160.9820772
10,Line 3,-0.844211032,346.6628003,172.0293763
10,Line 4,-1.03995003,524.7919983,178.129198
10,Line 5,-1.304767697,710.0783059,185.2863076
