Sample Name,Target Name,ƒ¢C„„ Mean,ƒ¢C„„ SE,ƒ¢ƒ¢C„„
WT1,Dlg4,1.795858979,0.050911803,0
WT2,Dlg4,1.339352965,0.046887826,-0.456506103
WT3,Dlg4,1.967391372,0.026749961,0.171532318
WT4,Dlg4,1.775083542,0.041704174,-0.020775476
VPA1,Dlg4,2.064175844,0.045084588,0.268316895
VPA2,Dlg4,1.874944687,0.037585746,0.07908567
VPA3,Dlg4,1.939916611,0.063146517,0.144057587
VPA4,Dlg4,1.606988311,0.129065454,-0.188870743
WT1,Nlgn2,3.58228302,0.101802051,-0.148546219
WT2,Nlgn2,3.508105516,0.087721065,-0.074177422
WT3,Nlgn2,3.730829239,0.101686947,0.148546219
WT4,Nlgn2,3.873874664,0.070150375,0.291591644
VPA1,Nlgn2,4.398696423,0.06165478,0.816413224
VPA2,Nlgn2,3.516028166,0.039288484,-0.066254936
VPA3,Nlgn2,4.05326128,0.150155544,0.470978409
VPA4,Nlgn2,3.265077591,0.12749806,-0.317205429
