Group,MouseID,Density of PSD-95 (10% Depth),Density of gephyrin (10% Depth),YM Alternation Rate,YM Re-entry Ratio,SI Time with stranger,OF Total Distance,OF Center Region,EPM Open Arm Time
VPA,1,187.9814583,34.75625,44.44,15,157,4879.89,11.79,17.90993469
VPA,2,192.6153125,34.48041667,37.5,16.66666667,90,8501.1,15.33,17.80868385
VPA,3,183.8584375,27.99003472,40.91,20.83333333,190.5,6488.97,11.79,11.15688294
VPA,4,198.6895833,28.48776042,14.29,66.66666667,205,4384.91,14.21,5.461329715
WT,5,172.7339236,49.00673611,53.33,11.76470588,187.5,2318.9,4.67,1.973460361
WT,6,180.9533681,50.37496528,53.33,11.76470588,200,5071.5,9.62,3.486423064
WT,7,169.2863021,43.52447917,85.71,6.25,249.5,5277.16,10.87,15.94152454
WT,8,179.6667708,47.63302083,65,9.090909091,431,4425.68,4.08,6.809795371
VPA,9,166.9705833,36.9641875,52.94,15.78947368,139,7847.79,16.37,18.94288755
VPA,10,154.4059896,23.99390625,76.92,0,285,6274.64,13.29,13.66120219
VPA,11,165.2720313,31.1121875,73.33,5.882352941,136.5,7707.57,14.04,8.948087432
VPA,12,188.2972917,37.26651042,50,21.42857143,100,7863.95,12.29,11.02581996
WT,13,159.3320313,56.14770833,64.29,0,275.5,6504.7,8.83,1.846785226
WT,14,157.775625,43.37291667,44,14.81481481,247.5,7836.6,11.58,6.02158023
VPA,15,172.5507292,38.27005208,71.43,11.11111111,114,9701.58,21.46,17.98960139
VPA,16,187.1190972,51.95243056,33.33,14.28571429,232.5,8849.55,16.79,14.91197791
VPA,17,184.3588194,36.95934028,53.33,11.76470588,260.5,7971.91,10.96,5.780933063
WT,18,162.5805208,45.17777778,75,0,306,8351.53,12.17,6.5807327
WT,19,151.7885677,51.3703125,68,3.703703704,234.5,7539.26,17.62,8.858543417
WT,20,160.1729167,47.72401042,83.33,0,462,7297.45,12.12,16.68393782
WT,21,154.2957813,39.28088542,31.58,14.28571429,233.5,6612.35,11.04,11.13445378
WT,22,170.7736458,51.28041667,72.22,0,287,9603.72,15.21,12.1340388
