Metric,Depth_bin,Pearson_r,p_value
Exc_density,0-10%,-0.1438798253887756,0.5229525550530935
Exc_density,10-20%,0.07369321704405468,0.7444856968342235
Exc_density,20-40%,0.09916430630562373,0.6606204634135164
Exc_density,40-70%,0.012251870684083994,0.9568445657999683
Exc_density,70-100%,0.03972409379069569,0.8606748246857203
Inh_density,0-10%,-0.2720897324950109,0.22057751978451698
Inh_density,10-20%,-0.3197130890789839,0.14693487588556936
Inh_density,20-40%,-0.3440314635422587,0.11693815074173625
Inh_density,40-70%,-0.3931890099007724,0.07025177801514962
Inh_density,70-100%,-0.3186558293170876,0.14835140515220743
