MouseID,Behavior,Exc_density,Depth,Inh_density
1,11.79,156.0903125,0,37.613125
1,11.79,187.9814583,10,34.75625
1,11.79,192.02125,20,30.92114583
1,11.79,180.255625,30,27.635625
1,11.79,158.9613542,40,27.32697917
1,11.79,150.703125,50,26.334375
1,11.79,141.1316667,60,22.06010417
1,11.79,138.0298958,70,26.745
1,11.79,131.8539583,80,25.00416667
1,11.79,114.0547917,90,22.27666667
2,15.33,169.6345313,0,66.18765625
2,15.33,192.6153125,10,34.48041667
2,15.33,193.5845313,20,30.99192708
2,15.33,175.6697917,30,27.424375
2,15.33,166.3575521,40,26.90166667
2,15.33,175.1176042,50,29.38802083
2,15.33,155.2353125,60,28.45463542
2,15.33,148.9115104,70,27.88572917
2,15.33,136.6565625,80,25.58244792
2,15.33,115.1540104,90,26.9521875
3,11.79,155.5182986,0,40.02597222
3,11.79,183.8584375,10,27.99003472
3,11.79,174.2741667,20,25.04850694
3,11.79,156.1113194,30,21.11350694
3,11.79,146.888125,40,20.5228125
3,11.79,138.8559722,50,19.85753472
3,11.79,132.7930208,60,19.70010417
3,11.79,124.9035069,70,20.25673611
3,11.79,110.4758681,80,18.54819444
3,11.79,95.81621528,90,15.37350694
4,14.21,222.6541146,0,42.5559375
4,14.21,198.6895833,10,28.48776042
4,14.21,197.2408854,20,27.83265625
4,14.21,175.6922917,30,21.78260417
4,14.21,163.1798958,40,20.53489583
4,14.21,162.9310417,50,20.28432292
4,14.21,138.6190625,60,22.22197917
4,14.21,129.1227604,70,20.33994792
4,14.21,117.4560938,80,18.59416667
4,14.21,97.74572917,90,16.96020833
5,4.67,185.980625,0,72.95611111
5,4.67,172.7339236,10,49.00673611
5,4.67,172.6252778,20,47.56333333
5,4.67,161.3661111,30,43.67802083
5,4.67,156.2473611,40,44.42100694
5,4.67,148.6328125,50,43.22277778
5,4.67,144.6919097,60,43.29149306
5,4.67,136.8274306,70,39.10395833
5,4.67,127.2225347,80,39.50871528
5,4.67,103.7911458,90,35.20552083
6,9.62,185.0829514,0,59.17840278
6,9.62,180.9533681,10,50.37496528
6,9.62,165.7475694,20,45.98677083
6,9.62,164.7904167,30,43.88045139
6,9.62,148.0457986,40,44.49534722
6,9.62,139.4178819,50,41.30416667
6,9.62,134.6476736,60,38.63038194
6,9.62,125.0609028,70,37.24152778
6,9.62,115.355,80,34.38319444
6,9.62,100.6432986,90,33.83711806
7,10.87,165.74125,0,65.96005208
7,10.87,169.2863021,10,43.52447917
7,10.87,141.6528125,20,35.60229167
7,10.87,141.7110417,30,35.09739583
7,10.87,133.4435938,40,35.04427083
7,10.87,127.6461979,50,32.50255208
7,10.87,120.3920313,60,31.23630208
7,10.87,109.3054688,70,31.74807292
7,10.87,103.3546354,80,29.76130208
7,10.87,99.01661458,90,28.10817708
8,4.08,203.5905208,0,47.9928125
8,4.08,179.6667708,10,47.63302083
8,4.08,168.1303125,20,39.76947917
8,4.08,163.2426042,30,36.61583333
8,4.08,155.4227083,40,30.65354167
8,4.08,152.9489583,50,32.98614583
8,4.08,136.5582292,60,35.78833333
8,4.08,129.2520833,70,30.64697917
8,4.08,107.120625,80,29.2159375
8,4.08,88.10885417,90,26.5596875
9,16.37,187.1236667,0,47.3055
9,16.37,166.9705833,10,36.9641875
9,16.37,151.8594375,20,32.78175
