Metric,Depth_bin,Pearson_r,p_value
Exc_density,0-10%,-0.0497248550263547,0.8260646431003744
Exc_density,10-20%,-0.016230769303026183,0.9428489003687728
Exc_density,20-40%,0.011832922938223325,0.9583189869891805
Exc_density,40-70%,-0.06607486050427983,0.7701740741990852
Exc_density,70-100%,-0.02121118589888335,0.92535381185912
Inh_density,0-10%,-0.19821157889070046,0.3765632141870174
Inh_density,10-20%,-0.2288257900062674,0.3056886895002664
Inh_density,20-40%,-0.2615433938112394,0.23969702193981812
Inh_density,40-70%,-0.30372075721907926,0.16939809211857576
Inh_density,70-100%,-0.28302155450808253,0.20185374626829633
