Metric,Depth_bin,Pearson_r,p_value
Exc_density,0-10%,-0.18408601829715207,0.41216892558529683
Exc_density,10-20%,-0.1520522284397419,0.49935659449179537
Exc_density,20-40%,-0.21801495335697393,0.32971775414711535
Exc_density,40-70%,-0.1722859922340567,0.4432700339604059
Exc_density,70-100%,-0.010374104160637856,0.9634540687991197
Inh_density,0-10%,0.025727550653809227,0.9095173728528271
Inh_density,10-20%,0.02642959664639741,0.9070585066755554
Inh_density,20-40%,-0.03601593626654091,0.8735743241465754
Inh_density,40-70%,-0.07303108096946687,0.7467084056090258
Inh_density,70-100%,-0.024634771689252054,0.9133463374343804
