MouseID,Behavior,Exc_density,Depth,Inh_density
1,157,156.0903125,0,37.613125
1,157,187.9814583,10,34.75625
1,157,192.02125,20,30.92114583
1,157,180.255625,30,27.635625
1,157,158.9613542,40,27.32697917
1,157,150.703125,50,26.334375
1,157,141.1316667,60,22.06010417
1,157,138.0298958,70,26.745
1,157,131.8539583,80,25.00416667
1,157,114.0547917,90,22.27666667
2,90,169.6345313,0,66.18765625
2,90,192.6153125,10,34.48041667
2,90,193.5845313,20,30.99192708
2,90,175.6697917,30,27.424375
2,90,166.3575521,40,26.90166667
2,90,175.1176042,50,29.38802083
2,90,155.2353125,60,28.45463542
2,90,148.9115104,70,27.88572917
2,90,136.6565625,80,25.58244792
2,90,115.1540104,90,26.9521875
3,190.5,155.5182986,0,40.02597222
3,190.5,183.8584375,10,27.99003472
3,190.5,174.2741667,20,25.04850694
3,190.5,156.1113194,30,21.11350694
3,190.5,146.888125,40,20.5228125
3,190.5,138.8559722,50,19.85753472
3,190.5,132.7930208,60,19.70010417
3,190.5,124.9035069,70,20.25673611
3,190.5,110.4758681,80,18.54819444
3,190.5,95.81621528,90,15.37350694
4,205,222.6541146,0,42.5559375
4,205,198.6895833,10,28.48776042
4,205,197.2408854,20,27.83265625
4,205,175.6922917,30,21.78260417
4,205,163.1798958,40,20.53489583
4,205,162.9310417,50,20.28432292
4,205,138.6190625,60,22.22197917
4,205,129.1227604,70,20.33994792
4,205,117.4560938,80,18.59416667
4,205,97.74572917,90,16.96020833
5,187.5,185.980625,0,72.95611111
5,187.5,172.7339236,10,49.00673611
5,187.5,172.6252778,20,47.56333333
5,187.5,161.3661111,30,43.67802083
5,187.5,156.2473611,40,44.42100694
5,187.5,148.6328125,50,43.22277778
5,187.5,144.6919097,60,43.29149306
5,187.5,136.8274306,70,39.10395833
5,187.5,127.2225347,80,39.50871528
5,187.5,103.7911458,90,35.20552083
6,200,185.0829514,0,59.17840278
6,200,180.9533681,10,50.37496528
6,200,165.7475694,20,45.98677083
6,200,164.7904167,30,43.88045139
6,200,148.0457986,40,44.49534722
6,200,139.4178819,50,41.30416667
6,200,134.6476736,60,38.63038194
6,200,125.0609028,70,37.24152778
6,200,115.355,80,34.38319444
6,200,100.6432986,90,33.83711806
7,249.5,165.74125,0,65.96005208
7,249.5,169.2863021,10,43.52447917
7,249.5,141.6528125,20,35.60229167
7,249.5,141.7110417,30,35.09739583
7,249.5,133.4435938,40,35.04427083
7,249.5,127.6461979,50,32.50255208
7,249.5,120.3920313,60,31.23630208
7,249.5,109.3054688,70,31.74807292
7,249.5,103.3546354,80,29.76130208
7,249.5,99.01661458,90,28.10817708
8,431,203.5905208,0,47.9928125
8,431,179.6667708,10,47.63302083
8,431,168.1303125,20,39.76947917
8,431,163.2426042,30,36.61583333
8,431,155.4227083,40,30.65354167
8,431,152.9489583,50,32.98614583
8,431,136.5582292,60,35.78833333
8,431,129.2520833,70,30.64697917
8,431,107.120625,80,29.2159375
8,431,88.10885417,90,26.5596875
9,139,187.1236667,0,47.3055
9,139,166.9705833,10,36.9641875
9,139,151.8594375,20,32.78175
9,139,133.12625,30,31.48154167
9,139,125.0089792,40,29.57541667
9,139,117.6914375,50,29.10295833
9,139,110.8022708,60,29.07947917
9,139,101.3853333,70,27.25729167
9,139,94.8713125,80,26.21283333
9,139,84.99260417,90,24.18470833
10,285,146.0466146,0,35.09796875
10,285,154.4059896,10,23.99390625
10,285,144.5714583,20,22.77385417
10,285,133.2991667,30,20.12411458
10,285,125.1173438,40,19.77140625
10,285,113.4019792,50,20.12114583
10,285,107.0445833,60,18.27697917
10,285,96.83364583,70,20.05114583
10,285,85.788125,80,18.96088542
10,285,67.09177083,90,15.55541667
11,136.5,184.239375,0,44.40786458
11,136.5,165.2720313,10,31.1121875
11,136.5,144.7706771,20,26.06203125
11,136.5,142.5992187,30,23.77791667
