Metric,Depth_bin,Pearson_r,p_value
Exc_density,0-10%,-0.0024238883113618906,0.9914585110534045
Exc_density,10-20%,-0.36978809240123633,0.09029080403344825
Exc_density,20-40%,-0.274430285930475,0.21647535429159753
Exc_density,40-70%,-0.14890654438533243,0.5083768019729492
Exc_density,70-100%,0.001057868207293276,0.9962721473247291
Inh_density,0-10%,0.11687801824568625,0.6044668387712558
Inh_density,10-20%,0.40915200524480977,0.05865078663239741
Inh_density,20-40%,0.44336807984732446,0.038759169767701246
Inh_density,40-70%,0.43579204207501593,0.042625340237206995
Inh_density,70-100%,0.4730643604490113,0.026177385620526555
