Metric,Depth_bin,Pearson_r,p_value
Exc_density,0-10%,-0.3216510824069041,0.14436315259410543
Exc_density,10-20%,-0.5750033375012795,0.00511908303678852
Exc_density,20-40%,-0.5362575962368509,0.010089975060075435
Exc_density,40-70%,-0.4768583128573683,0.024838048296177865
Exc_density,70-100%,-0.31731813164858824,0.1501574194822094
Inh_density,0-10%,0.0824117999898696,0.7154075327596557
Inh_density,10-20%,0.26217550813128093,0.23852165161302516
Inh_density,20-40%,0.2506020812234164,0.2606386555684895
Inh_density,40-70%,0.3219337385253338,0.14399074361546196
Inh_density,70-100%,0.3369589948081049,0.12515998724179084
