MouseID,Behavior,Exc_density,Depth,Inh_density
1,15,156.0903125,0,37.613125
1,15,187.9814583,10,34.75625
1,15,192.02125,20,30.92114583
1,15,180.255625,30,27.635625
1,15,158.9613542,40,27.32697917
1,15,150.703125,50,26.334375
1,15,141.1316667,60,22.06010417
1,15,138.0298958,70,26.745
1,15,131.8539583,80,25.00416667
1,15,114.0547917,90,22.27666667
2,16.66666667,169.6345313,0,66.18765625
2,16.66666667,192.6153125,10,34.48041667
2,16.66666667,193.5845313,20,30.99192708
2,16.66666667,175.6697917,30,27.424375
2,16.66666667,166.3575521,40,26.90166667
2,16.66666667,175.1176042,50,29.38802083
2,16.66666667,155.2353125,60,28.45463542
2,16.66666667,148.9115104,70,27.88572917
2,16.66666667,136.6565625,80,25.58244792
2,16.66666667,115.1540104,90,26.9521875
3,20.83333333,155.5182986,0,40.02597222
3,20.83333333,183.8584375,10,27.99003472
3,20.83333333,174.2741667,20,25.04850694
3,20.83333333,156.1113194,30,21.11350694
3,20.83333333,146.888125,40,20.5228125
3,20.83333333,138.8559722,50,19.85753472
3,20.83333333,132.7930208,60,19.70010417
3,20.83333333,124.9035069,70,20.25673611
3,20.83333333,110.4758681,80,18.54819444
3,20.83333333,95.81621528,90,15.37350694
4,66.66666667,222.6541146,0,42.5559375
4,66.66666667,198.6895833,10,28.48776042
4,66.66666667,197.2408854,20,27.83265625
4,66.66666667,175.6922917,30,21.78260417
4,66.66666667,163.1798958,40,20.53489583
4,66.66666667,162.9310417,50,20.28432292
4,66.66666667,138.6190625,60,22.22197917
4,66.66666667,129.1227604,70,20.33994792
4,66.66666667,117.4560938,80,18.59416667
4,66.66666667,97.74572917,90,16.96020833
5,11.76470588,185.980625,0,72.95611111
5,11.76470588,172.7339236,10,49.00673611
5,11.76470588,172.6252778,20,47.56333333
5,11.76470588,161.3661111,30,43.67802083
5,11.76470588,156.2473611,40,44.42100694
5,11.76470588,148.6328125,50,43.22277778
5,11.76470588,144.6919097,60,43.29149306
5,11.76470588,136.8274306,70,39.10395833
5,11.76470588,127.2225347,80,39.50871528
5,11.76470588,103.7911458,90,35.20552083
6,11.76470588,185.0829514,0,59.17840278
6,11.76470588,180.9533681,10,50.37496528
6,11.76470588,165.7475694,20,45.98677083
6,11.76470588,164.7904167,30,43.88045139
6,11.76470588,148.0457986,40,44.49534722
6,11.76470588,139.4178819,50,41.30416667
6,11.76470588,134.6476736,60,38.63038194
6,11.76470588,125.0609028,70,37.24152778
6,11.76470588,115.355,80,34.38319444
6,11.76470588,100.6432986,90,33.83711806
7,6.25,165.74125,0,65.96005208
7,6.25,169.2863021,10,43.52447917
7,6.25,141.6528125,20,35.60229167
7,6.25,141.7110417,30,35.09739583
7,6.25,133.4435938,40,35.04427083
7,6.25,127.6461979,50,32.50255208
7,6.25,120.3920313,60,31.23630208
7,6.25,109.3054688,70,31.74807292
7,6.25,103.3546354,80,29.76130208
7,6.25,99.01661458,90,28.10817708
8,9.090909091,203.5905208,0,47.9928125
8,9.090909091,179.6667708,10,47.63302083
8,9.090909091,168.1303125,20,39.76947917
8,9.090909091,163.2426042,30,36.61583333
8,9.090909091,155.4227083,40,30.65354167
8,9.090909091,152.9489583,50,32.98614583
8,9.090909091,136.5582292,60,35.78833333
8,9.090909091,129.2520833,70,30.64697917
8,9.090909091,107.120625,80,29.2159375
8,9.090909091,88.10885417,90,26.5596875
9,15.78947368,187.1236667,0,47.3055
9,15.78947368,166.9705833,10,36.9641875
9,15.78947368,151.8594375,20,32.78175
9,15.78947368,133.12625,30,31.48154167
9,15.78947368,125.0089792,40,29.57541667
9,15.78947368,117.6914375,50,29.10295833
9,15.78947368,110.8022708,60,29.07947917
9,15.78947368,101.3853333,70,27.25729167
9,15.78947368,94.8713125,80,26.21283333
9,15.78947368,84.99260417,90,24.18470833
10,0,146.0466146,0,35.09796875
10,0,154.4059896,10,23.99390625
10,0,144.5714583,20,22.77385417
10,0,133.2991667,30,20.12411458
10,0,125.1173438,40,19.77140625
10,0,113.4019792,50,20.12114583
10,0,107.0445833,60,18.27697917
10,0,96.83364583,70,20.05114583
10,0,85.788125,80,18.96088542
10,0,67.09177083,90,15.55541667
11,5.882352941,184.239375,0,44.40786458
11,5.882352941,165.2720313,10,31.1121875
11,5.882352941,144.7706771,20,26.06203125
11,5.882352941,142.5992187,30,23.77791667
11,5.882352941,131.0073958,40,24.23828125
11,5.882352941,130.9395833,50,25.3625
11,5.882352941,125.5063021,60,25.80989583
11,5.882352941,108.2839583,70,23.71520833
11,5.882352941,99.97151042,80,21.78552083
11,5.882352941,88.24734375,90,20.83088542
12,21.42857143,181.0494271,0,56.45820313
12,21.42857143,188.2972917,10,37.26651042
12,21.42857143,166.0432031,20,32.32817708
12,21.42857143,150.6128385,30,28.36786458
12,21.42857143,139.0377604,40,26.49458333
12,21.42857143,130.7341146,50,22.24429687
12,21.42857143,116.3839844,60,22.44671875
12,21.42857143,104.3823177,70,21.64471354
12,21.42857143,97.80445313,80,20.28200521
12,21.42857143,86.15210938,90,19.75523438
13,0,147.06625,0,66.88739583
13,0,159.3320313,10,56.14770833
13,0,145.8701563,20,46.7415625
13,0,134.6735938,30,40.71125
13,0,126.0173958,40,41.72822917
13,0,113.8396875,50,40.11869792
13,0,107.2245833,60,38.205
13,0,100.2784896,70,36.14671875
13,0,95.48880208,80,34.94083333
13,0,91.91296875,90,34.16958333
14,14.81481481,130.5065625,0,55.83364583
14,14.81481481,157.775625,10,43.37291667
14,14.81481481,126.185,20,40.37854167
14,14.81481481,123.5407292,30,37.77416667
14,14.81481481,119.3982292,40,35.2475
14,14.81481481,104.5738542,50,33.73729167
14,14.81481481,110.6579167,60,36.11885417
14,14.81481481,99.10614583,70,32.8146875
14,14.81481481,89.848125,80,30.1921875
14,14.81481481,80.02125,90,28.79208333
15,11.11111111,160.0304687,0,43.6840625
15,11.11111111,172.5507292,10,38.27005208
15,11.11111111,163.0288021,20,34.65911458
15,11.11111111,156.433125,30,31.14125
15,11.11111111,138.2827604,40,26.98630208
15,11.11111111,128.129375,50,24.76432292
15,11.11111111,123.6788542,60,27.81578125
15,11.11111111,117.1740625,70,25.44484375
15,11.11111111,104.6691667,80,23.76135417
15,11.11111111,86.61619792,90,20.62057292
16,14.28571429,208.3627431,0,66.73506944
16,14.28571429,187.1190972,10,51.95243056
16,14.28571429,179.3405556,20,41.35909722
16,14.28571429,176.1620139,30,40.37829861
16,14.28571429,170.8588889,40,36.62888889
16,14.28571429,162.4901736,50,33.35072917
16,14.28571429,152.5057639,60,30.0090625
16,14.28571429,151.1181597,70,34.87763889
16,14.28571429,128.6097569,80,28.21739583
16,14.28571429,116.3199653,90,23.85135417
17,11.76470588,196.8291667,0,54.87090278
17,11.76470588,184.3588194,10,36.95934028
17,11.76470588,174.9195833,20,33.12763889
17,11.76470588,161.1799306,30,33.3828125
17,11.76470588,159.1748611,40,30.69538194
17,11.76470588,157.0860069,50,31.06739583
17,11.76470588,146.5976389,60,30.27368056
17,11.76470588,135.5185764,70,29.95520833
17,11.76470588,130.8780556,80,27.70013889
17,11.76470588,126.7409028,90,28.15638889
18,0,163.14125,0,59.95607639
18,0,162.5805208,10,45.17777778
18,0,148.5062847,20,40.19006944
18,0,143.6010069,30,41.12982639
18,0,132.7052431,40,40.181875
18,0,131.7991319,50,40.10010417
18,0,123.5296528,60,38.38524306
18,0,121.5861458,70,37.29013889
18,0,121.0788542,80,37.36048611
18,0,119.7272569,90,37.97423611
19,3.703703704,166.9508594,0,65.59752604
19,3.703703704,151.7885677,10,51.3703125
