YM Alternation Rate,YM Re-entry Ratio,SI Time with stranger,OF Total Distance,OF Center Region,EPM Open Arm Time,PSD_num_0,PSD_num_10,PSD_num_20,PSD_num_30,PSD_num_40,PSD_num_50,PSD_num_60,PSD_num_70,PSD_num_80,PSD_num_90,gephyrin_num_0,gephyrin_num_10,gephyrin_num_20,gephyrin_num_30,gephyrin_num_40,gephyrin_num_50,gephyrin_num_60,gephyrin_num_70,gephyrin_num_80,gephyrin_num_90
44.44,15,157,4879.89,11.79,17.90993469,156.0903125,187.9814583,192.02125,180.255625,158.9613542,150.703125,141.1316667,138.0298958,131.8539583,114.0547917,37.613125,34.75625,30.92114583,27.635625,27.32697917,26.334375,22.06010417,26.745,25.00416667,22.27666667
37.5,16.66666667,90,8501.1,15.33,17.80868385,169.6345313,192.6153125,193.5845313,175.6697917,166.3575521,175.1176042,155.2353125,148.9115104,136.6565625,115.1540104,66.18765625,34.48041667,30.99192708,27.424375,26.90166667,29.38802083,28.45463542,27.88572917,25.58244792,26.9521875
40.91,20.83333333,190.5,6488.97,11.79,11.15688294,155.5182986,183.8584375,174.2741667,156.1113194,146.888125,138.8559722,132.7930208,124.9035069,110.4758681,95.81621528,40.02597222,27.99003472,25.04850694,21.11350694,20.5228125,19.85753472,19.70010417,20.25673611,18.54819444,15.37350694
14.29,66.66666667,205,4384.91,14.21,5.461329715,222.6541146,198.6895833,197.2408854,175.6922917,163.1798958,162.9310417,138.6190625,129.1227604,117.4560938,97.74572917,42.5559375,28.48776042,27.83265625,21.78260417,20.53489583,20.28432292,22.22197917,20.33994792,18.59416667,16.96020833
53.33,11.76470588,187.5,2318.9,4.67,1.973460361,185.980625,172.7339236,172.6252778,161.3661111,156.2473611,148.6328125,144.6919097,136.8274306,127.2225347,103.7911458,72.95611111,49.00673611,47.56333333,43.67802083,44.42100694,43.22277778,43.29149306,39.10395833,39.50871528,35.20552083
53.33,11.76470588,200,5071.5,9.62,3.486423064,185.0829514,180.9533681,165.7475694,164.7904167,148.0457986,139.4178819,134.6476736,125.0609028,115.355,100.6432986,59.17840278,50.37496528,45.98677083,43.88045139,44.49534722,41.30416667,38.63038194,37.24152778,34.38319444,33.83711806
85.71,6.25,249.5,5277.16,10.87,15.94152454,165.74125,169.2863021,141.6528125,141.7110417,133.4435938,127.6461979,120.3920313,109.3054688,103.3546354,99.01661458,65.96005208,43.52447917,35.60229167,35.09739583,35.04427083,32.50255208,31.23630208,31.74807292,29.76130208,28.10817708
65,9.090909091,431,4425.68,4.08,6.809795371,203.5905208,179.6667708,168.1303125,163.2426042,155.4227083,152.9489583,136.5582292,129.2520833,107.120625,88.10885417,47.9928125,47.63302083,39.76947917,36.61583333,30.65354167,32.98614583,35.78833333,30.64697917,29.2159375,26.5596875
52.94,15.78947368,139,7847.79,16.37,18.94288755,187.1236667,166.9705833,151.8594375,133.12625,125.0089792,117.6914375,110.8022708,101.3853333,94.8713125,84.99260417,47.3055,36.9641875,32.78175,31.48154167,29.57541667,29.10295833,29.07947917,27.25729167,26.21283333,24.18470833
76.92,0,285,6274.64,13.29,13.66120219,146.0466146,154.4059896,144.5714583,133.2991667,125.1173438,113.4019792,107.0445833,96.83364583,85.788125,67.09177083,35.09796875,23.99390625,22.77385417,20.12411458,19.77140625,20.12114583,18.27697917,20.05114583,18.96088542,15.55541667
73.33,5.882352941,136.5,7707.57,14.04,8.948087432,184.239375,165.2720313,144.7706771,142.5992187,131.0073958,130.9395833,125.5063021,108.2839583,99.97151042,88.24734375,44.40786458,31.1121875,26.06203125,23.77791667,24.23828125,25.3625,25.80989583,23.71520833,21.78552083,20.83088542
50,21.42857143,100,7863.95,12.29,11.02581996,181.0494271,188.2972917,166.0432031,150.6128385,139.0377604,130.7341146,116.3839844,104.3823177,97.80445313,86.15210938,56.45820313,37.26651042,32.32817708,28.36786458,26.49458333,22.24429687,22.44671875,21.64471354,20.28200521,19.75523438
64.29,0,275.5,6504.7,8.83,1.846785226,147.06625,159.3320313,145.8701563,134.6735938,126.0173958,113.8396875,107.2245833,100.2784896,95.48880208,91.91296875,66.88739583,56.14770833,46.7415625,40.71125,41.72822917,40.11869792,38.205,36.14671875,34.94083333,34.16958333
44,14.81481481,247.5,7836.6,11.58,6.02158023,130.5065625,157.775625,126.185,123.5407292,119.3982292,104.5738542,110.6579167,99.10614583,89.848125,80.02125,55.83364583,43.37291667,40.37854167,37.77416667,35.2475,33.73729167,36.11885417,32.8146875,30.1921875,28.79208333
