Depth (%),01_ACC VPA1,02_ACC VPA2,03_ACC VPA3,04_ACC VPA4,05_ACC WT1,06_ACC WT2,07_ACC WT3,08_ACC WT4,09_ACC VPA6,10_ACC VPA7,11_ACC VPA8,12_ACC VPA9,13_ACC WT2,14_ACC WT4,15_ACC VPA1,16_ACC VPA2,17_ACC VPA3,18_ACC WT1,19_ACC WT2,20_ACC WT3,21_ACC WT4,22_ACC WT5,WT_Mean,WT_SD,WT_N,VPA_Mean,VPA_SD,VPA_N,23_ACC VPA+E5,24_ACC VPA+E6,25_ACC VPA+E7,26_ACC WT+E4,27_ACC WT+E6,28_ACC WT+E7,WT+E_Mean,WT+E_SD,WT+E_N,VPA+E_Mean,VPA+E_SD,VPA+E_N,P_value_VPA_vs_VPA+E,q_fdr
0,1.3090625,1.354791667,1.3553125,1.2996875,1.398298611,1.362361111,1.424427083,1.4125,1.3498125,1.3465625,1.325989583,1.366432292,1.435364583,1.377916667,1.357395833,1.367881944,1.3909375,1.4578125,1.420494792,1.448125,1.424010417,1.3975,1.414437342,0.028773464,11,1.347624211,0.02665527,11,1.4275,1.346944444,1.410868056,1.436979167,1.448958333,1.448993056,1.444976852,0.00692622,3,1.395104167,0.042528514,3,0.42689561473411397,0.4743284608156822
10,1.373229167,1.333125,1.357048611,1.286614583,1.396180556,1.386944444,1.42203125,1.419791667,1.36875,1.341875,1.361197917,1.37890625,1.402604167,1.381875,1.3796875,1.363055556,1.375659722,1.438229167,1.404635417,1.443489583,1.414375,1.386979167,1.408830492,0.020712673,11,1.356286301,0.027469656,11,1.388802083,1.362881944,1.402881944,1.44671875,1.449444444,1.415173611,1.437112269,0.019048251,3,1.384855324,0.020289965,3,0.31772398795162426,0.39715498493953033
20,1.376041667,1.316302083,1.333541667,1.30609375,1.389236111,1.369722222,1.364947917,1.428958333,1.353166667,1.352447917,1.351822917,1.378307292,1.37859375,1.3640625,1.353072917,1.339861111,1.375902778,1.437534722,1.425416667,1.435885417,1.3984375,1.369583333,1.396579861,0.029985229,11,1.348778251,0.023663841,11,1.384479167,1.344097222,1.385451389,1.433802083,1.436840278,1.4215625,1.430734954,0.008087527,3,1.371342593,0.02360019,3,0.5414948183167028,0.5414948183167028
30,1.364270833,1.315572917,1.356319444,1.305208333,1.365347222,1.366458333,1.367760417,1.391354167,1.375604167,1.321875,1.355677083,1.361015625,1.416354167,1.331875,1.363489583,1.359131944,1.361770833,1.430138889,1.405,1.437083333,1.400520833,1.387395833,1.390844381,0.031454821,11,1.349085069,0.023302312,11,1.40375,1.361527778,1.398159722,1.44375,1.445416667,1.403402778,1.430856481,0.023790204,3,1.3878125,0.022934205,3,0.2103785729863228,0.3005408185518897
40,1.335416667,1.321875,1.356284722,1.29203125,1.379722222,1.351736111,1.377552083,1.416875,1.365729167,1.343385417,1.339375,1.3675,1.384947917,1.3359375,1.350885417,1.352152778,1.3440625,1.425555556,1.403098958,1.417135417,1.370729167,1.3865625,1.386350221,0.027935666,11,1.342608902,0.021339221,11,1.394479167,1.362118056,1.395798611,1.456354167,1.451354167,1.410104167,1.439270833,0.025382491,3,1.384131944,0.019075998,3,0.1133592861971523,0.18893214366192052
50,1.276666667,1.358072917,1.373715278,1.32875,1.363888889,1.347951389,1.390416667,1.4121875,1.354229167,1.315989583,1.325364583,1.34984375,1.395572917,1.357916667,1.335416667,1.360590278,1.348055556,1.445555556,1.413255208,1.461145833,1.406614583,1.383229167,1.397975852,0.035091051,11,1.338790404,0.026804574,11,1.39921875,1.367083333,1.383090278,1.454166667,1.429097222,1.4259375,1.436400463,0.015466883,3,1.383130787,0.016067747,3,0.04728217058696749,0.1110013313422138
60,1.326458333,1.355208333,1.390555556,1.311822917,1.383506944,1.356215278,1.408177083,1.369270833,1.370479167,1.332864583,1.349322917,1.348463542,1.407083333,1.354375,1.373958333,1.357118056,1.371979167,1.441701389,1.41375,1.439270833,1.401197917,1.391875,1.396947601,0.029609647,11,1.353475537,0.02318253,11,1.385208333,1.404027778,1.405104167,1.468229167,1.435451389,1.4246875,1.442789352,0.022679362,3,1.398113426,0.011189089,3,0.008174047180663946,0.04087023590331973
70,1.30875,1.351770833,1.364166667,1.325677083,1.368923611,1.353125,1.406770833,1.384270833,1.366541667,1.3175,1.307083333,1.369869792,1.3821875,1.406770833,1.392552083,1.382013889,1.391736111,1.432534722,1.4071875,1.434322917,1.425052083,1.397604167,1.399886364,0.025963096,11,1.352514678,0.032513743,11,1.3840625,1.411319444,1.423854167,1.43984375,1.432881944,1.417222222,1.429982639,0.011586106,3,1.406412037,0.020344684,3,0.0555006656711069,0.1110013313422138
80,1.3015625,1.339166667,1.36625,1.33125,1.390451389,1.350208333,1.368645833,1.357708333,1.358395833,1.353229167,1.343229167,1.369348958,1.383072917,1.39375,1.374010417,1.374548611,1.379236111,1.422534722,1.416770833,1.450260417,1.419635417,1.403333333,1.396033775,0.030342129,11,1.353657039,0.023381815,11,1.39890625,1.403576389,1.4328125,1.444270833,1.439513889,1.426284722,1.436689815,0.009319689,3,1.411765046,0.018376589,3,0.034421895369689315,0.1110013313422138
90,1.336458333,1.320885417,1.400069444,1.335104167,1.3840625,1.366041667,1.3565625,1.379791667,1.371229167,1.344583333,1.38,1.379140625,1.395520833,1.421145833,1.385052083,1.377256944,1.379618056,1.421840278,1.42125,1.458229167,1.422760417,1.4053125,1.402956124,0.029898001,11,1.364490688,0.025550153,11,1.407552083,1.401111111,1.414861111,1.444947917,1.445694444,1.441805556,1.444149306,0.002063783,3,1.407841435,0.006879565,3,0.0015735025940949443,0.015735025940949443
