Mouse ID,Group,Excercise,Total_Distance(cm),Total Movement Duration(s),Total Movement Episode No.,Average Speed(cm/s),Moving Speed(cm s-1),Distance Per Movement(cm),Duration Per Movement(s),Wall Side Time(s),Center Region Time(s),Center Region (%),1 Block,2 Block,3 Block,4 Block,5 Block,6 Block,7 Block,8 Block,9 Block,10 Block,11 Block,12 Block,13 Block,14 Block,15 Block,16 Block,17 Block,18 Block,19 Block,20 Block,21 Block,22 Block,23 Block,24 Block,25 Block,26 Block,27 Block,28 Block,29 Block,30 Block,31 Block,32 Block,33 Block,34 Block,35 Block,36 Block
1,VPA,(-),4879.89,405,267,4.07,10.31,15.64,1.52,1058.5,141.5,11.79,90,55.5,26.5,13,26.5,88.5,13.5,11.5,9,11,11.5,30,20.5,12,8.5,11.5,9.5,24,21,8,5,5.5,10,35,40.5,9,5.5,10,29,62.5,84.5,36.5,51,36,44,234.5
2,VPA,(-),8501.1,634,382,7.08,12.4,20.57,1.66,1016,184,15.33,108,83.5,44.5,34,37,87,36,25,9.5,11,14,31,16.5,18.5,11,8.5,14.5,13.5,39,23,16,15,22.5,23,51.5,24.5,11.5,6.5,19,38,71,30.5,38,20,30.5,117.5
3,VPA,(-),6488.97,560,365,5.41,10.27,15.76,1.53,1058.5,141.5,11.79,109,84,52,27,38,63.5,22.5,23.5,17.5,4,20.5,24.5,20.5,9.5,5.5,9,13,13.5,45.5,17.5,11,5.5,11.5,16,58.5,13.5,12.5,12,12.5,36.5,97,34.5,35,43.5,28.5,152
4,VPA,(-),4384.91,401,319,3.65,9.17,11.53,1.26,1029.5,170.5,14.21,44,19.5,56,43.5,39,366,21.5,22.5,9,28.5,35,21,59,4.5,7.5,16.5,16,9,56,16,7,15.5,12,14.5,42.5,31,10.5,2.5,4,10,42.5,30.5,18,10.5,18,41
5,WT,(-),7847.79,625,375,6.54,11.41,19.02,1.67,1003.5,196.5,16.37,118.5,52.5,21.5,39,46.5,91.5,27.5,33.5,14,10,13,30,18,18,16.5,9,13.5,47.5,31.5,32,8,14,10.5,29,31.5,16,15.5,22,14.5,23.5,114,39.5,26.5,22.5,37.5,92
6,WT,(-),6274.64,517.5,378,5.23,10.59,14.5,1.37,1040.5,159.5,13.29,122,46,19.5,17,45,115.5,25.5,21,2.5,4,12.5,34,38.5,11.5,8,6.5,8.5,13,39.5,11,11,11.5,5,28.5,17,8.5,14,36,53.5,55,84.5,46.5,29.5,21,58.5,119
7,WT,(-),7707.57,628,392,6.42,11.14,17.85,1.6,1031.5,168.5,14.04,86,23.5,15.5,30,35,98.5,32,6,10,8.5,30.5,32,27,6,16,12,13,37.5,34,14.5,8,13,22.5,32,44,12,9.5,11.5,21.5,27.5,136.5,47,35.5,48.5,38.5,125
8,WT,(-),7863.95,618,382,6.55,11.6,18.76,1.62,1052.5,147.5,12.29,96.5,29,22,25.5,46,177.5,29.5,11,5.5,8.5,21,41,17.5,9,7.5,16,9.5,24,28.5,8,16,11.5,13,48,18.5,10,12,15,24.5,25.5,112,25.5,26,42,41.5,126
9,VPA,(-),9701.58,708,375,8.08,12.83,24.23,1.89,942.5,257.5,21.46,52,40.5,40.5,31,37.5,83,25,14,17,20.5,25.5,50,12.5,22,18,19,16,28,25.5,20.5,16,20.5,23.5,28.5,56,22.5,15.5,22.5,27,56,83.5,39.5,28.5,69,32.5,61
10,VPA,(-),8849.55,672,389,7.37,12.19,21.06,1.73,998.5,201.5,16.79,92,38,29,42.5,45,154.5,17.5,8.5,6,10,22,39,9.5,10,12.5,14,16,71,14,17.5,18.5,16.5,18.5,43.5,25.5,15,13,21.5,37.5,37.5,86,18.5,22.5,36,36,85.5
11,VPA,(-),7971.91,634.5,355,6.64,11.6,20.73,1.79,1068.5,131.5,10.96,97,31,15,25,66.5,123.5,21.5,12.5,12.5,10.5,14.5,27.5,21.5,12.5,6,7,9.5,43.5,26.5,14.5,11,6,18,33.5,27,6.5,6.5,4.5,13,28,110,63,37,48,34,156
12,VPA,(-),2318.9,196.5,147,1.93,9.47,12.66,1.34,1144,56,4.67,42,19,41.5,32,7,38.5,12.5,2.5,3.5,5,2.5,1,11,2.5,1,3,2.5,3.5,14.5,20,4.5,3,1.5,1.5,19.5,9.5,4,2,3,8.5,779,12.5,11,16,20,39.5
13,WT,(-),5071.5,433,308,4.23,9.86,13.87,1.41,1084.5,115.5,9.62,101,30.5,21,20.5,30,68,59.5,24,9.5,9.5,8,16.5,43,16.5,3,0,1.5,39.5,25.5,40,5,3,3,36.5,60,20.5,10.5,5.5,9.5,26,120,59,33.5,35.5,54,151.5
14,WT,(-),5277.16,421,280,4.4,10.73,16.13,1.5,1069.5,130.5,10.87,190.5,46,64.5,8,28.5,47.5,57,11,9.5,8.5,15,13,50,14,12,9,7,19.5,41,9.5,21,3,5,13,13.5,14,20.5,4.5,5,23,150,82,60,20.5,25,79
15,VPA,(-),4425.68,349,253,3.69,10.75,14.83,1.38,1151,49,4.08,122,37,14.5,11,18.5,58.5,25,5,11,7.5,6.5,20.5,22,1.5,3,5,4,18.5,35,4.5,0.5,1,3.5,23.5,41,14,3.5,2.5,8.5,50,201,25.5,23,17,44.5,310.5
16,VPA,(-),6504.7,467.5,352,5.42,12.27,16.3,1.33,1094,106,8.83,166.5,36.5,50.5,19,30,174,37,6,6,3.5,5,33.5,6.5,4.5,2.5,2,9,21,25,10,33.5,6.5,1,21,35,5.5,17.5,5,9,27,163,19,41,18,34.5,115.5
