Depth (%),01_ACC VPA1,02_ACC VPA2,03_ACC VPA3,04_ACC VPA4,05_ACC WT1,06_ACC WT2,07_ACC WT3,08_ACC WT4,09_ACC VPA6,10_ACC VPA7,11_ACC VPA8,12_ACC VPA9,13_ACC WT2,14_ACC WT4,15_ACC VPA1,16_ACC VPA2,17_ACC VPA3,18_ACC WT1,19_ACC WT2,20_ACC WT3,21_ACC WT4,22_ACC WT5,WT_Mean,WT_SD,WT_N,VPA_Mean,VPA_SD,VPA_N,23_ACC VPA+E5,24_ACC VPA+E6,25_ACC VPA+E7,26_ACC WT+E4,27_ACC WT+E6,28_ACC WT+E7,WT+E_Mean,WT+E_SD,WT+E_N,VPA+E_Mean,VPA+E_SD,VPA+E_N
0,156.0903125,169.6345313,155.5182986,222.6541146,185.980625,185.0829514,165.74125,203.5905208,187.1236667,146.0466146,184.239375,181.0494271,147.06625,130.5065625,160.0304687,208.3627431,196.8291667,163.14125,166.9508594,166.9597917,159.0915625,178.5746875,168.4260283,19.86422646,11,178.8707926,24.06848129,11,181.0046875,191.8838194,155.5175,174.0968229,197.4997222,163.7428472,178.4464641,17.29367475,3,176.1353356,18.6657504,3
10,187.9814583,192.6153125,183.8584375,198.6895833,172.7339236,180.9533681,169.2863021,179.6667708,166.9705833,154.4059896,165.2720313,188.2972917,159.3320313,157.775625,172.5507292,187.1190972,184.3588194,162.5805208,151.7885677,160.1729167,154.2957813,170.7736458,165.3963139,9.909650207,11,180.1926667,13.49955257,11,188.7686979,186.1688889,185.5152431,164.2028646,183.1526042,151.5748264,166.3100984,15.89400321,3,186.81761,1.721008832,3
20,192.02125,193.5845313,174.2741667,197.2408854,172.6252778,165.7475694,141.6528125,168.1303125,151.8594375,144.5714583,144.7706771,166.0432031,145.8701563,126.185,163.0288021,179.3405556,174.9195833,148.5062847,152.434974,152.6572396,142.3847396,160.5442708,152.4307852,13.64507935,11,171.0595046,18.91312626,11,176.5425,177.0110417,185.3646528,150.3860938,181.1062153,153.0192708,161.50386,17.02711532,3,179.6393981,4.9637474,3
30,180.255625,175.6697917,156.1113194,175.6922917,161.3661111,164.7904167,141.7110417,163.2426042,133.12625,133.2991667,142.5992187,150.6128385,134.6735938,123.5407292,156.433125,176.1620139,161.1799306,143.6010069,136.552474,141.2254167,137.8982292,153.9457292,145.6861229,13.35328864,11,158.2855974,17.28072939,11,174.1560938,164.2346181,180.7538889,141.7200521,169.7477431,144.6228125,152.0302025,15.41233064,3,173.0482002,8.31517578,3
40,158.9613542,166.3575521,146.888125,163.1798958,156.2473611,148.0457986,133.4435938,155.4227083,125.0089792,125.1173438,131.0073958,139.0377604,126.0173958,119.3982292,138.2827604,170.8588889,159.1748611,132.7052431,135.9110677,132.2285417,131.3417188,144.0690625,137.7118837,11.80578447,11,147.6249924,16.88305058,11,157.9289063,155.1933681,162.4589236,119.77125,165.8100694,143.7320139,143.1044444,23.02582477,3,158.527066,3.669525947,3
50,150.703125,175.1176042,138.8559722,162.9310417,148.6328125,139.4178819,127.6461979,152.9489583,117.6914375,113.4019792,130.9395833,130.7341146,113.8396875,104.5738542,128.129375,162.4901736,157.0860069,131.7991319,125.288151,126.9245313,121.5078646,137.8158333,130.0359004,14.29616805,11,142.5527648,20.28543202,11,156.6217188,150.2125347,156.8826042,126.1310938,162.6204861,135.4459028,141.3991609,18.95916402,3,154.5722859,3.777907876,3
60,141.1316667,155.2353125,132.7930208,138.6190625,144.6919097,134.6476736,120.3920313,136.5582292,110.8022708,107.0445833,125.5063021,116.3839844,107.2245833,110.6579167,123.6788542,152.5057639,146.5976389,123.5296528,124.4608854,123.1917708,117.1759896,132.2633333,124.9812705,11.30055438,11,131.8453146,16.51789403,11,157.6173958,142.1398958,154.5639931,123.2732292,154.0701042,125.2773611,134.2068981,17.23120284,3,151.4404282,8.197910979,3
70,138.0298958,148.9115104,124.9035069,129.1227604,136.8274306,125.0609028,109.3054688,129.2520833,101.3853333,96.83364583,108.2839583,104.3823177,100.2784896,99.10614583,117.1740625,151.1181597,135.5185764,121.5861458,114.7704687,122.5077604,117.3301042,123.1409375,118.1059943,11.61002598,11,123.242157,19.06334106,11,151.7621354,137.8909028,147.2289236,114.26625,145.5608681,118.2720139,126.033044,17.02978188,3,145.6273206,7.072950083,3
80,131.8539583,136.6565625,110.4758681,117.4560938,127.2225347,115.355,103.3546354,107.120625,94.8713125,85.788125,99.97151042,97.80445313,95.48880208,89.848125,104.6691667,128.6097569,130.8780556,121.0788542,115.7911719,112.6690625,111.52875,118.2341667,110.6992479,11.0570297,11,112.639533,17.44241156,11,152.0165625,138.8079167,137.8303472,105.1154167,140.4248958,105.9456944,117.1620023,20.15053353,3,142.8849421,7.92330603,3
90,114.0547917,115.1540104,95.81621528,97.74572917,103.7911458,100.6432986,99.01661458,88.10885417,84.99260417,67.09177083,88.24734375,86.15210938,91.91296875,80.02125,86.61619792,116.3199653,126.7409028,119.7272569,104.7582292,109.5091146,102.7631771,116.6780208,101.5390846,11.76293817,11,98.0846946,17.91094759,11,131.9757292,134.3489583,129.0107986,101.6590625,128.5646875,98.04690972,109.4235532,16.67480667,3,131.7784954,2.674539808,3
