Mouse ID,Group,Excercise,Total Distance(cm),Total Movement Duration(s),Total Movement Episode No.,Average Speed,Moving Speed(cm s),Distance Per Movement(cm),Duration Per Movement(s),Wall Side Time(s),Center Region Time(s),Center Region(%),subROI1_TimesEntered,Time with stranger (s),subROI2_TimesEntered,subROI2_StayTime,% Time with stranger,Visit Ratio to Stranger (%)
1,VPA,(-),2744.22,210.5,156,4.57,11.1,14.98,1.35,588,12,2,25,187.5,19,140.5,0.571646341,0.568181818
2,VPA,(-),3139.53,242,174,5.23,11.41,15.87,1.39,561.5,38.5,6.42,25,157,21,93,0.628,0.543478261
3,VPA,(-),2457.88,180,138,4.1,11.6,15.13,1.3,577,23,3.83,14,200,24,152,0.568181818,0.368421053
4,VPA,(-),1963.23,174,143,3.27,8.95,10.89,1.22,557.5,42.5,7.08,31,90,21,124,0.420560748,0.596153846
5,WT,(-),2907.29,225.5,166,4.85,11.07,15.04,1.36,581,19,3.17,33,249.5,15,118.5,0.67798913,0.6875
6,WT,(-),2744.41,230.5,153,4.57,10.15,15.29,1.51,570,30,5,29,190.5,16,126.5,0.600946372,0.644444444
7,WT,(-),2478.88,194,154,4.13,10.46,13.18,1.26,590.5,9.5,1.58,23,431,12,45,0.905462185,0.657142857
8,WT,(-),2895.84,229.5,161,4.83,10.99,15.66,1.43,582.5,17.5,2.92,31,205,17,63,0.764925373,0.645833333
9,VPA,(-),2589.84,171.5,133,4.32,12.73,16.42,1.29,579.5,20.5,3.42,27,275.5,16,97,0.739597315,0.627906977
10,VPA,(-),2109.36,166,148,3.52,10.2,11.44,1.12,588.5,11.5,1.92,24,247.5,18,141,0.637065637,0.571428571
11,VPA,(-),1725.3,135.5,110,2.88,10.25,12.63,1.23,570.5,29.5,4.92,28,139,10,37.5,0.787535411,0.736842105
12,VPA,(-),2197.95,198,157,3.66,9.04,11.4,1.26,571.5,28.5,4.75,23,285,19,93.5,0.752972259,0.547619048
13,WT,(-),1636.29,138.5,108,2.73,9.2,11.8,1.28,566.5,33.5,5.58,25,136.5,15,44,0.756232687,0.625
14,WT,(-),2085.47,184,145,3.48,9.3,11.81,1.27,559,41,6.83,30,100,17,169.5,0.371057514,0.638297872
15,VPA,(-),1907.93,161.5,154,3.18,9.13,9.57,1.05,563.5,36.5,6.08,21,306,10,25,0.924471299,0.677419355
16,VPA,(-),2621.67,199,169,4.37,11.28,13.28,1.18,546,54,9,19,234.5,14,85.5,0.7328125,0.575757576
17,VPA,(-),1118.91,86,92,1.86,7.95,7.43,0.93,593,7,1.17,32,462,8,13.5,0.971608833,0.8
18,WT,(-),2403.99,197.5,159,4.01,10.14,12.59,1.24,578,22,3.67,27,233.5,18,69,0.771900826,0.6
19,WT,(-),2431.94,194.5,144,4.05,10.55,14.25,1.35,582.5,17.5,2.92,28,287,11,33,0.896875,0.717948718
20,WT,(-),2312.57,205,153,3.85,9.45,12.66,1.34,544,56,9.33,25,114,12,46,0.7125,0.675675676
21,WT,(-),1811.84,146.5,106,3.02,9.95,13.75,1.38,556.5,43.5,7.25,20,232.5,12,147,0.612648221,0.625
22,WT,(-),1979.52,184.5,155,3.3,8.52,10.15,1.19,572,28,4.67,17,260.5,13,68.5,0.791793313,0.566666667
23,VPA,(+),2664.42,208,165,4.44,10.89,13.73,1.26,531.5,68.5,11.42,37,284.5,6,29,0.907496013,0.860465116
24,VPA,(+),2063.7,142.5,111,3.44,11.6,14.89,1.28,553.5,46.5,7.75,19,271,12,70,0.794721408,0.612903226
25,VPA,(+),2438.81,206.5,158,4.06,10.16,13.28,1.31,483,117,19.5,30,180,19,55.5,0.76433121,0.612244898
26,WT,(+),1999.42,148,113,3.33,10.93,14.32,1.31,587,13,2.17,24,223,9,38,0.85440613,0.727272727
27,WT,(+),1804.79,146.5,134,3.01,9.49,10.38,1.09,577,23,3.83,40,276,5,26.5,0.912396694,0.888888889
28,WT,(+),2100.25,166,137,3.5,10.15,12.3,1.21,565.5,34.5,5.75,25,262,8,67,0.796352584,0.757575758
