Mouse ID,Group,Excercise,InitialPosition,Total Entry Number ,Total Alternation Number,Effective Entry Number,Total Re-entry Number,Alternation Rate(%),Total A Arm Time(s),Total B Arm Time(s),Total C Arm Time(s),Center Region Time(s),Total Distance(cm),Total Immobile Time(s),Average Speed,Moving Speed(cm s-1),Total Episode Number,Average Episode Time(s),Average Episode Distance(cm),Re-entry Ratio (%)
1,VPA,(-),C,20,8,18,3,44.44,41,35,49,175,1521.48,148,5.07,8.58,121,1.26,10.78,15
2,VPA,(-),C,18,6,16,3,37.5,33,25,108.5,133.5,1401.99,153.5,4.67,8.08,110,1.33,10.77,16.66666667
3,VPA,(-),C,24,9,22,5,40.91,72.5,40,64,123.5,1759.88,134.5,5.87,9.45,111,1.49,14.09,20.83333333
4,VPA,(-),C,9,1,7,6,14.29,15.5,20,165,99.5,819.24,199,2.73,5.63,103,0.98,5.52,66.66666667
5,WT,(-),C,19,9,17,3,52.94,68,67,64.5,100.5,1514.63,152.5,5.05,8.89,110,1.34,11.92,15.78947368
6,WT,(-),C,15,10,13,0,76.92,57.5,65.5,48,129,1331.45,166.5,4.44,8.47,105,1.27,10.76,0
7,WT,(-),C,17,11,15,1,73.33,52.5,71.5,67,109,1369.11,156,4.56,8.08,114,1.26,10.21,5.882352941
8,WT,(-),C,14,6,12,3,50,62.5,59.5,50,128,1221.41,175,4.07,7.89,118,1.06,8.36,21.42857143
9,VPA,(-),C,9,5,7,1,71.43,126,45,52,77,1000.14,195.5,3.33,7.5,91,1.15,8.61,11.11111111
10,VPA,(-),C,14,4,12,2,33.33,68,57,56.5,118.5,1194.87,189,3.98,8.81,99,1.12,9.88,14.28571429
11,VPA,(-),C,17,8,15,2,53.33,38.5,95.5,53,113,1190.24,192.5,3.97,9.13,97,1.11,10.12,11.76470588
12,VPA,(-),C,17,8,15,2,53.33,42.5,24.5,46.5,186.5,1236.51,168,4.12,7.89,108,1.22,9.65,11.76470588
13,WT,(-),C,17,8,15,2,53.33,22,55.5,77.5,145,1302.9,160.5,4.34,7.88,107,1.3,10.27,11.76470588
14,WT,(-),C,16,12,14,1,85.71,49,43,117,91,1316.51,155,4.39,7.58,109,1.33,10.08,6.25
15,VPA,(-),C,22,13,20,2,65,57,47,50,146,1621.77,134.5,5.41,8.65,109,1.52,13.13,9.090909091
16,VPA,(-),C,16,9,14,0,64.29,53,73.5,89.5,84,1264.41,167,4.21,7.87,104,1.28,10.06,0
17,VPA,(-),C,27,11,25,4,44,71,54.5,61.5,113,1826.51,133,6.09,9.78,113,1.48,14.45,14.81481481
18,WT,(-),C,18,12,16,0,75,56.5,72.5,52.5,118.5,1514.19,151.5,5.05,8.93,103,1.44,12.87,0
19,WT,(-),C,27,17,25,1,68,61,64.5,64,110.5,2111.43,118.5,7.04,10.73,114,1.59,17.09,3.703703704
20,WT,(-),C,14,10,12,0,83.33,77.5,62,74,86.5,1312.51,169.5,4.38,8.37,103,1.27,10.61,0
21,WT,(-),C,21,6,19,3,31.58,73,53,78,96,1922.18,119.5,6.41,9.68,110,1.64,15.89,14.28571429
22,WT,(-),C,20,13,18,0,72.22,58,47,50.5,144.5,1690.12,153,5.63,10.06,112,1.31,13.21,0
23,VPA,(+),C,21,3,19,4,15.79,27.5,70,90,112.5,1616.59,157.5,5.39,9.86,101,1.41,13.91,19.04761905
24,VPA,(+),C,25,9,23,3,39.13,59.5,47,47.5,146,1782.76,147,5.94,10.28,112,1.37,14.05,12
25,VPA,(+),C,21,7,19,3,36.84,58,45,59,138,1555.38,159.5,5.18,9.56,121,1.16,11.1,14.28571429
26,WT,(+),C,12,7,10,0,70,48.5,35,88,128.5,1050.83,190,3.5,7.55,84,1.31,9.88,0
27,WT,(+),C,16,10,14,0,71.43,67,41,77.5,114.5,1259.74,175.5,4.2,8.37,101,1.23,10.31,0
28,WT,(+),C,21,9,19,1,47.37,79,64,61.5,95.5,1645.13,164,5.48,10.44,96,1.42,14.8,4.761904762
