Group,MouseID,Density of PSD-95 (10% Depth),Density of gephyrin (10% Depth),YM Alternation Rate,YM Re-entry Ratio,SI Time with stranger,OF Total Distance,OF Center Region,EPM Open Arm Time,PC1,PC2
VPA Control,1,187.9814583,34.75625,44.44,15.0,157.0,4879.89,11.79,17.90993469,1.3793476129133526,1.0451017881287525
VPA Control,2,192.6153125,34.48041667,37.5,16.66666667,90.0,8501.1,15.33,17.80868385,2.4132017631839227,-0.27248711025634087
VPA Control,3,183.8584375,27.99003472,40.91,20.83333333,190.5,6488.97,11.79,11.15688294,1.4900121809082878,1.3288046892937893
VPA Control,4,198.6895833,28.48776042,14.29,66.66666667,205.0,4384.91,14.21,5.461329715,4.192769699976078,3.230669102652298
WT Control,5,172.7339236,49.00673611,53.33,11.76470588,187.5,2318.9,4.67,1.973460361,-0.9748583333757562,3.069796462701725
WT Control,6,180.9533681,50.37496528,53.33,11.76470588,200.0,5071.5,9.62,3.486423064,-0.4444734689648846,1.6374229469716195
WT Control,7,169.2863021,43.52447917,85.71,6.25,249.5,5277.16,10.87,15.94152454,-1.3788507135212613,0.4211392430603248
WT Control,8,179.6667708,47.63302083,65.0,9.090909091,431.0,4425.68,4.08,6.809795371,-2.14845800838605,2.1193946029734487
VPA Control,9,166.9705833,36.9641875,52.94,15.78947368,139.0,7847.79,16.37,18.94288755,1.0269162183057097,-0.6637476644827439
VPA Control,10,154.4059896,23.99390625,76.92,0.0,285.0,6274.64,13.29,13.66120219,-1.2669605883443025,0.3134276474914751
VPA Control,11,165.2720313,31.1121875,73.33,5.882352941,136.5,7707.57,14.04,8.948087432,-0.1930361747222607,0.2255860938620668
VPA Control,12,188.2972917,37.26651042,50.0,21.42857143,100.0,7863.95,12.29,11.02581996,1.6252656421687999,0.6772861241700102
WT Control,13,159.3320313,56.14770833,64.29,0.0,275.5,6504.7,8.83,1.846785226,-2.3783053627567385,0.7605687822694424
WT Control,14,157.775625,43.37291667,44.0,14.81481481,247.5,7836.6,11.58,6.02158023,-0.42845669188878815,0.4955182390660479
VPA Control,15,172.5507292,38.27005208,71.43,11.11111111,114.0,9701.58,21.46,17.98960139,0.8983170627884172,-1.83991488226135
VPA Control,16,187.1190972,51.95243056,33.33,14.28571429,232.5,8849.55,16.79,14.91197791,1.017450155188251,-0.9616105388571322
VPA Control,17,184.3588194,36.95934028,53.33,11.76470588,260.5,7971.91,10.96,5.780933063,0.031310619633720435,0.8724272680984901
WT Control,18,162.5805208,45.17777778,75.0,0.0,306.0,8351.53,12.17,6.5807327,-1.9743067515143375,-0.18771981181732134
WT Control,19,151.7885677,51.3703125,68.0,3.703703704,234.5,7539.26,17.62,8.858543417,-1.456293898632219,-0.8807141322973546
WT Control,20,160.1729167,47.72401042,83.33,0.0,462.0,7297.45,12.12,16.68393782,-2.827355963301285,-0.754193750285528
WT Control,21,154.2957813,39.28088542,31.58,14.28571429,233.5,6612.35,11.04,11.13445378,0.06501169288941239,0.6643606979950227
WT Control,22,170.7736458,51.28041667,72.22,0.0,287.0,9603.72,15.21,12.1340388,-1.3962074763538543,-1.3684096550518698
VPA Exercise,23,188.7686979,51.541875,70.0,0.0,223.0,8439.51,16.04,6.783746556,-0.7173663727717542,-0.5635003810064116
VPA Exercise,24,186.1688889,37.80298611,71.43,0.0,276.0,7525.55,18.17,11.73062998,-0.41764179813183405,-0.5448741367999791
VPA Exercise,25,185.5152431,43.30173611,47.37,4.761904762,262.0,8199.77,22.12,20.54054054,0.7877299637791358,-1.7939263009743036
WT Exercise,26,164.2028646,48.48484375,15.79,19.04761905,284.5,8728.23,17.58,17.51025992,1.0164494065890044,-1.1767047702013236
WT Exercise,27,183.1526042,56.84920139,39.13,12.0,271.0,11923.66,28.0,23.29001368,1.2922260064541282,-3.9626324848713543
WT Exercise,28,151.5748264,51.07982639,36.84,14.28571429,180.0,6403.82,19.33,29.94371482,0.7665635778871062,-1.8910680695715
